p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.290837,0.219124,0.099602,0.043825,0.290837,0.449537,2124445917379383938,225831859320501277745167630148056823378
0.639442,0.241036,0.639442,0.001992,0.498008,0.483338,2507791059006512680,same
0.615538,0.380478,0.615538,0.001992,0.075697,0.466647,1386602243452273419,same
0.243028,0.115538,0.243028,0.001992,0.001992,0.449696,7050868653066539919,same
0.426295,0.388446,0.426295,0.001992,0.035857,0.443853,5165462254575133403,same
0.428287,0.428287,0.290837,0.001992,0.017928,0.434610,8072231557349777328,same
0.938247,0.938247,0.884462,0.001992,0.009960,0.476670,5680056672773580160,same
0.766932,0.766932,0.256972,0.001992,0.003984,0.463282,654297125006886357,same
0.266932,0.266932,0.037849,0.001992,0.029880,0.473427,7014685119409535311,same
0.294821,0.085657,0.294821,0.001992,0.045817,0.442174,8375824929150691812,same
0.306773,0.306773,0.007968,0.115538,0.031873,0.412218,21538351805291000,same
0.007968,0.007968,0.001992,0.001992,0.001992,0.378526,6473313658970989781,same
0.045817,0.013944,0.045817,0.001992,0.001992,0.414812,9003859844529578770,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.351493,9076437117447777218,same
0.639442,0.035857,0.639442,0.001992,0.001992,0.441147,1952973906158075172,same
0.033865,0.001992,0.033865,0.001992,0.001992,0.381130,4588224277591049374,same
0.019920,0.019920,0.001992,0.001992,0.001992,0.416556,1055585190595117549,same
0.031873,0.001992,0.031873,0.001992,0.001992,0.397087,6698119035059106396,same
0.145418,0.001992,0.145418,0.001992,0.001992,0.382518,4811931042748941422,same
0.896414,0.033865,0.896414,0.001992,0.001992,0.435438,2195291600760416320,same
0.920319,0.814741,0.001992,0.099602,0.920319,0.317017,5031879845900685037,same
0.003984,0.003984,0.001992,0.001992,0.001992,0.330496,4807250571799440652,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.304600,1572753512406311469,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.311828,3918724564783664052,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.278956,2660943743648963283,same
0.021912,0.001992,0.021912,0.001992,0.001992,0.308196,7979847321635945815,same
0.784861,0.001992,0.784861,0.001992,0.001992,0.260376,7557066871607320566,same
0.085657,0.001992,0.085657,0.001992,0.001992,0.323765,8246549628582660167,same
0.035857,0.001992,0.035857,0.001992,0.001992,0.329116,5781173240733853405,same
0.619522,0.001992,0.619522,0.001992,0.001992,0.311106,5163214803541989524,same
0.573705,0.029880,0.001992,0.490040,0.573705,0.213089,3157511318057997574,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.236385,3684029072027798915,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.202460,985444185918789892,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.240982,3275413430844841426,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.265606,7314235318308452872,same
0.015936,0.001992,0.015936,0.001992,0.001992,0.198685,7403070717750802943,same
0.017928,0.001992,0.017928,0.001992,0.001992,0.202057,6637249534037618125,same
0.173307,0.001992,0.173307,0.001992,0.001992,0.233308,4590234663536409239,same
0.163347,0.001992,0.163347,0.001992,0.001992,0.193277,2213892310950178926,same
0.021912,0.001992,0.021912,0.001992,0.001992,0.229243,8564761832151156110,same
0.320717,0.320717,0.001992,0.288845,0.320717,0.175438,8870557918999610087,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.125139,7009338086249486285,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.160106,2406660519007412888,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.161720,1558887049635557459,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.142298,3592767523386022334,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.135096,3528550733812501433,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.156804,7708347161229852685,same
0.047809,0.001992,0.047809,0.001992,0.001992,0.161174,3360048969956868269,same
0.153386,0.001992,0.153386,0.001992,0.001992,0.178199,5323093484062788470,same
0.005976,0.001992,0.005976,0.001992,0.001992,0.151655,2599661921454607620,same
0.151394,0.063745,0.001992,0.147410,0.151394,0.101039,3818816471505333677,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.131949,4969019915767550901,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.106308,7927841158602849513,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.086731,3410805410520441035,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.113757,3912493637897494909,same
0.013944,0.001992,0.013944,0.001992,0.001992,0.104266,7065178702185631541,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.147769,6198187296710681287,same
0.077689,0.001992,0.077689,0.001992,0.001992,0.108879,7330225638988485818,same
0.015936,0.001992,0.015936,0.001992,0.001992,0.100932,2892933437586467648,same
0.637450,0.001992,0.637450,0.001992,0.001992,0.125166,8022225663736722216,same
0.950199,0.007968,0.001992,0.047809,0.950199,0.092467,1316960822393928370,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.068099,1030567442841449975,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.081012,2090276105252231293,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.075787,4633992762065195572,same
0.059761,0.001992,0.059761,0.001992,0.001992,0.056702,1533088685935119351,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.053978,3820198691146534305,same
0.095618,0.001992,0.095618,0.001992,0.001992,0.061349,1276273135457734468,same
0.474104,0.001992,0.474104,0.001992,0.001992,0.069878,2938509831053123119,same
0.266932,0.001992,0.266932,0.001992,0.001992,0.073881,6402596097920718179,same
0.141434,0.001992,0.141434,0.001992,0.001992,0.088754,923676499843804452,same
0.348606,0.035857,0.001992,0.057769,0.348606,0.025823,2080008862316019878,same
0.005976,0.001992,0.001992,0.001992,0.005976,0.029161,2320210165033625739,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.033674,2863906711684392468,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.018582,2807726070103590602,same
0.105578,0.001992,0.105578,0.001992,0.001992,0.019024,1349079394999246256,same
0.521912,0.001992,0.521912,0.001992,0.001992,0.031001,3851518481734939142,same
0.029880,0.001992,0.029880,0.001992,0.001992,0.020371,663644570548700978,same
0.227092,0.001992,0.227092,0.001992,0.001992,0.021632,979509410921346022,same
0.872510,0.001992,0.872510,0.001992,0.001992,0.011360,7742465204577406327,same
0.392430,0.001992,0.392430,0.001992,0.001992,0.019968,2991004674730809175,same
0.207171,0.001992,0.001992,0.207171,0.143426,0.009484,5333668467166945657,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.003146,1433319278615844877,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.006935,6695400333436121263,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.004382,1435808959961763731,same
0.276892,0.001992,0.276892,0.001992,0.001992,0.005289,4804602979941924665,same
0.025896,0.001992,0.025896,0.001992,0.001992,0.009973,7345091178599828963,same
0.005976,0.001992,0.005976,0.001992,0.001992,0.006836,1859452946961122865,same
0.372510,0.001992,0.372510,0.001992,0.001992,0.007394,882392924433308560,same
0.382470,0.001992,0.382470,0.001992,0.001992,0.004473,6917948397320460088,same
0.633466,0.001992,0.633466,0.001992,0.001992,0.005409,7690233118592494290,same
0.059761,0.001992,0.001992,0.025896,0.059761,0.000304,640545075584956704,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.000914,4807261633982746891,same
0.021912,0.001992,0.021912,0.001992,0.001992,0.000482,1030314939555090957,same
0.019920,0.001992,0.019920,0.001992,0.001992,0.004367,6543455395061225771,same
0.334661,0.001992,0.334661,0.001992,0.001992,0.000788,6611074844651396836,same
0.308765,0.001992,0.308765,0.001992,0.001992,0.001980,7900531191607678747,same
0.097610,0.001992,0.097610,0.001992,0.001992,0.000645,3595531994661366593,same
0.284861,0.001992,0.284861,0.001992,0.001992,0.000441,4461301831875250940,same
0.083665,0.001992,0.083665,0.001992,0.001992,0.000689,2035791373564010385,same
0.458167,0.001992,0.458167,0.001992,0.001992,0.000674,8439018937904045560,same
